date,address,type,WAT,Confidence,risk_level,risk_description
2023-12-20,0x8cda4bf57af66227d541b728759131bb8137a09c,General_Trending_Risky,226965,60,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-12-20,0x2eeff21c71ae38f9c34496cd9250c0d186dcd988,General_Trending_Risky,160228,80,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-12-20,0x45c36b3ee5f6c9b4b494515b21a59b8b78336536,General_Trending_Risky,111277,60,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-12-20,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,93930,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000b35ae47b12b8ccf2f8d51e208760c8""}]"
2023-12-20,0xde1566b0b164a6d6171a774a79d2c29c185bdd9b,General_Trending_Risky,74115,10,5,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2023-12-20,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,36970,50,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xcecce97529effc360f68b3f26eef4ad74ebf5705""}]"
2023-12-20,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,33847,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004712b0169adce3dcf583fada3dc0e0""}]"
2023-12-20,0x08801120ab610f42eaa5c573112eec68c19cbd9c,General_Trending_Risky,31981,80,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2023-12-20,0xc20a079c7962d9fc92173cda349e80d484dfa42a,General_Trending_Risky,30601,50,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc20a079c7962d9fc92173cda349e80d484dfa42a""}]"
2023-12-20,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,30272,50,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000003a3c2878a1df56a486c9683220456""}]"
2023-12-20,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,23453,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xd3d2fb3165def479310144e37e68c1e824526e36""}]"
2023-12-20,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,22477,50,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000cc1ffb95df1486af6dacb26d6d1af0""}]"
2023-12-20,0xf466f27fb811ab1572ca67ab438e966910f5d9c1,General_Trending_Risky,19072,50,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf466f27fb811ab1572ca67ab438e966910f5d9c1""}]"
2023-12-20,0x98f39d0f8c67885071cc99c5af1d4cacbcc89b0c,General_Trending_Risky,18799,60,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-12-20,0xf3bc5720982af97dd4a912652970a777bcb1ca52,General_Trending_Risky,17305,0,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-12-20,0x2fdbb4cc126306cfae8c83d8cc763504461c447b,General_Trending_Risky,17266,0,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-12-20,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,General_Trending_Risky,13310,60,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-12-20,0x76d9a7c6164de3bc4d95ef0c011d3d22eb8b4d60,General_Trending_Risky,12163,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2023-12-20,0x00000000001f8b68515efb546542397d3293ccfd,General_Trending_Risky,11328,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000001f8b68515efb546542397d3293ccfd""}]"
2023-12-20,0x25ab3efd52e6470681ce037cd546dc60726948d3,General_Trending_Risky,11165,50,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x25ab3efd52e6470681ce037cd546dc60726948d3""}]"
2023-12-20,0xfdc9018af0e37abf89233554c937eb5068127080,General_Trending_Risky,11062,50,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfdc9018af0e37abf89233554c937eb5068127080""}]"
2023-12-20,0xffe811714ab35360b67ee195ace7c10d93f89d8c,General_Trending_Risky,10413,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xffe811714ab35360b67ee195ace7c10d93f89d8c""}]"
2023-12-20,0xfc46b09bf98858b08c5c5deeb5c19e609fabd398,General_Trending_Risky,10400,20,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfc46b09bf98858b08c5c5deeb5c19e609fabd398""}]"
2023-12-20,0xc748673057861a797275cd8a068abb95a902e8de,General_Trending_Risky,10262,80,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""whitelist"",""value"":""The address is whitelisted based on threat intelligence or manual analysis.""}]"
