address,type,last_7days_cd_address,last_7days_cd_tx_hash
0xdffc2e577f21982344a5d407afd9e226e328b35b,Scam,10958,21907
0xf42476267742f7d8c7afa7f979977ded75d12ba9,Scam,4831,7760
0x685b594824d71a0526f24ea2549f412c1d7f1d35,Scam,845,1018
0xebd35ff8ee51aef61defaa05052c7b5117640b39,Scam,612,821
0xc572fb7e614c681613ba0dfab41bc37f987daf6b,Scam,56,92
0x5160f18eecf400adea97b991e7346e9ca3952dd5,Scam,46,56
0xfbcf52615f2bbd88c66af3f37986faa3e3f7614d,Scam,63,99
0x6dc70d4e0342da36be4d9d5061fc442d1c443ec1,Scam,37,51
0xdeb781b3c4377ae312339f2aa47cbb226f92157c,Scam,16,21
0xb73bc1697b567a47e8532b0371a327c20bb51b59,Scam,27,28
0x929625acce321770c747c38cc989b689ee823d90,Scam,20,75
0xa8dd05982db7c1cc9d2e55415550676eb4e6f3e1,Scam,13,15
