date,address,type,WAT,Confidence,risk_level,risk_description
2023-11-02,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,99714,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xba509bdb71a29301860800e13867b59b461747af""}]"
2023-11-02,0xfa500178de024bf43cfa69b7e636a28ab68f2741,General_Trending_Risky,87296,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfa500178de024bf43cfa69b7e636a28ab68f2741""}]"
2023-11-02,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,61159,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}"
2023-11-02,0x441ccc7891d55efd804d909281de8889317a2ab9,General_Trending_Risky,53392,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-11-02,0xdc35505fbf46605f61014b9b2ac96826c47017d5,General_Trending_Risky,43175,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}"
2023-11-02,0xe01806f66abcd460a7eb38ec723cc644c3e5833c,General_Trending_Risky,42464,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xe01806f66abcd460a7eb38ec723cc644c3e5833c""}]"
2023-11-02,0xf32b7c76a0e6c9929c68d69aa0acddd67b2ec0d1,General_Trending_Risky,34148,70,3,"[{""name"":""mixcoin-related"",""value"":""The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk.""}]"
2023-11-02,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,32202,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}"
2023-11-02,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,27187,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}"
2023-11-02,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,24740,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}"
