address,type,last_7days_cd_address,last_7days_cd_tx_hash
0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67,Scam,3883,14036
0x35d2d93051ecdac9418888607bbad0aa094a7bd6,Scam,1058,1277
0xf5c27fad680ea584dc9973f80920d74acc1290af,Scam,930,1146
0x229eb38d9f66ed6e5aefc89c57ceea8dda07ae25,Scam,634,668
0x887f2eb0a707555c2726c2c257e2152bf94b994d,Scam,261,295
0x21c75bc392ede780e3d0dcd412c47c968f524c6f,Scam,237,344
0x9389e4d0087522297f8c19c8a0f1a3c2a48d73ae,Scam,161,286
0xc903905a41384be8f131ed3a9204c49847f2ce0e,Scam,108,136
0x19ef9f0f23388e6cdee61a65779c3e006d4625ae,Scam,106,138
0x34868f08e46aaf846634656fcea9b0c0c5dc9ac0,Scam,105,112
0x01dd16a1f691557660455ae6b70879a946b69f7a,Scam,103,151
0x1b8e49b921bc180bca5aebd314e0961c798e8c6d,Scam,57,80
