date,address,type,WAT,Confidence,risk_level,risk_description,,have?
2023-11-09,0xef2b07b1fec00caccdd8dadeaa25900c808ca3dd,General_Trending_Risky,9550,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xef2b07b1fec00caccdd8dadeaa25900c808ca3dd""}]",,No
2023-11-09,0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1,General_Trending_Risky,9229,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1""}]",,No
2023-11-09,0xe341f30ea040bf3691aa069b8c5c213f72676421,General_Trending_Risky,9132,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xe341f30ea040bf3691aa069b8c5c213f72676421""}]",,No
2023-11-09,0x13fd16538ff8b3aea324bc4d2863eb9ea78e1691,General_Trending_Risky,8973,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43,General_Trending_Risky,8954,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43""}]",,No
2023-11-09,0xbecfd0bb03b34d973c0ee577d20a7f363a0e2094,General_Trending_Risky,8587,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xbecfd0bb03b34d973c0ee577d20a7f363a0e2094""}]",,No
2023-11-09,0x00000000004e660d7929b04626bbf28cbecce534,General_Trending_Risky,7631,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004e660d7929b04626bbf28cbecce534""}]",,No
2023-11-09,0xabe776435f7459e2f5ba773bfb753ed19a053dd0,General_Trending_Risky,7492,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xabe776435f7459e2f5ba773bfb753ed19a053dd0""}]",,No
2023-11-09,0x625b02b687ec38f3085af5b108dda410775fa76a,General_Trending_Risky,7463,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x000000000027583d895e5c06b7b9e96762c1e165,General_Trending_Risky,7327,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000027583d895e5c06b7b9e96762c1e165""}]",,No
