date,address,type,WAT,Confidence,risk_level,risk_description
2023-11-23,0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43,General_Trending_Risky,8998,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43""}]"
2023-11-23,0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1,General_Trending_Risky,8903,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1""}]"
2023-11-23,0xf466f27fb811ab1572ca67ab438e966910f5d9c1,General_Trending_Risky,8410,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf466f27fb811ab1572ca67ab438e966910f5d9c1""}]"
2023-11-23,0x000000000027583d895e5c06b7b9e96762c1e165,General_Trending_Risky,8322,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000027583d895e5c06b7b9e96762c1e165""}]"
2023-11-23,0x00000000004e660d7929b04626bbf28cbecce534,General_Trending_Risky,8008,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004e660d7929b04626bbf28cbecce534""}]"
2023-11-23,0x2bb76ce97bc26b022401570573253863ea644d92,General_Trending_Risky,7682,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-11-23,0x50792468ddb3dc2df226039b311d7a1f96c789a1,General_Trending_Risky,7544,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-11-23,0x625b02b687ec38f3085af5b108dda410775fa76a,General_Trending_Risky,7295,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0xc632f90affec7121120275610bf17df9963f181c,General_Trending_Risky,7086,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,General_Trending_Risky,6974,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e""}]"
2023-11-23,0x00000000001f8b68515efb546542397d3293ccfd,General_Trending_Risky,6851,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000001f8b68515efb546542397d3293ccfd""}]"
2023-11-23,0xd7b1b61aeaeb655d7bd08aa75ac4006776619a35,General_Trending_Risky,6781,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xd7b1b61aeaeb655d7bd08aa75ac4006776619a35""}]"
2023-11-23,0xce16f69375520ab01377ce7b88f5ba8c48f8d666,General_Trending_Risky,6618,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""behavior-issue"",""value"":""The address is found to be associated with some already known malicious addresses.""}]"
2023-11-23,0x514c2eaf287e58e5cb78da2f9f5a564feddf35a8,General_Trending_Risky,6577,880,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x4d1e90ab966ae26c778b2f9f365aa40abb13f53c,General_Trending_Risky,6077,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/detail/sta""}]"
2023-11-23,0x13fd16538ff8b3aea324bc4d2863eb9ea78e1691,General_Trending_Risky,6030,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x1ec29c2659b74053c5b8290d6b43b9cbdd09157a,General_Trending_Risky,6000,880,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x685bfdd3c2937744c13d7de0821c83191e3027ff,General_Trending_Risky,5876,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x685bfdd3c2937744c13d7de0821c83191e3027ff""}]"
2023-11-23,0x3ab7014d0e896a8e486fbf5bc590eeb93d6f44bf,General_Trending_Risky,5785,70,4,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2023-11-23,0xfc46b09bf98858b08c5c5deeb5c19e609fabd398,General_Trending_Risky,5689,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfc46b09bf98858b08c5c5deeb5c19e609fabd398""}]"
2023-11-23,0x8c1e4b8aea59921889fbe7b68b2ae06e2dd2a7a1,General_Trending_Risky,5524,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x8c1e4b8aea59921889fbe7b68b2ae06e2dd2a7a1""}]"
2023-11-23,0x3065cd33559d5dc56b9b167d9485f5361da37faa,General_Trending_Risky,5454,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x3065cd33559d5dc56b9b167d9485f5361da37faa""}]"
2023-11-23,0x066aee69d93dee28b32a57febd1878a2d94f6b0c,General_Trending_Risky,5387,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x066aee69d93dee28b32a57febd1878a2d94f6b0c""}]"
2023-11-23,0x1be83d1e44bc76b1136bf395611a76da9edda61a,General_Trending_Risky,5368,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2023-11-23,0x1c73c9a44b3023134f7eac7ab30e9ab5a4615a76,General_Trending_Risky,5325,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x1c73c9a44b3023134f7eac7ab30e9ab5a4615a76""}]"
2023-11-23,0xc92962f4c20ce9dd3181042074f3c5776a3e22dd,General_Trending_Risky,5288,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc92962f4c20ce9dd3181042074f3c5776a3e22dd""}]"
