date,address,type,WAT,Confidence,risk_level,risk_description
2024-01-11,0x45c36b3ee5f6c9b4b494515b21a59b8b78336536,General_Trending_Risky,259432,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0xc92df682a8dc28717c92d7b5832376e6ac15a90d,General_Trending_Risky,136545,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,102342,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000b35ae47b12b8ccf2f8d51e208760c8""}]"
2024-01-11,0x98f39d0f8c67885071cc99c5af1d4cacbcc89b0c,General_Trending_Risky,99364,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x2eeff21c71ae38f9c34496cd9250c0d186dcd988,General_Trending_Risky,99204,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2024-01-11,0x75ca521892de7f2ecfb070cab545c250d0ceb7e3,General_Trending_Risky,60495,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/detail/pvc-meta""}]"
2024-01-11,0xf32b7c76a0e6c9929c68d69aa0acddd67b2ec0d1,General_Trending_Risky,43987,70,3,"[{""name"":""mixcoin-related"",""value"":""The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk.""}]"
2024-01-11,0xc20a079c7962d9fc92173cda349e80d484dfa42a,General_Trending_Risky,42020,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc20a079c7962d9fc92173cda349e80d484dfa42a""}]"
2024-01-11,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,35047,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004712b0169adce3dcf583fada3dc0e0""}]"
2024-01-11,0x37dd1205047b65cbbf8041137e2ea9a8fc66a3a6,General_Trending_Risky,34615,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2024-01-11,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,31833,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000003a3c2878a1df56a486c9683220456""}]"
2024-01-11,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,27459,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xcecce97529effc360f68b3f26eef4ad74ebf5705""}]"
2024-01-11,0x8cda4bf57af66227d541b728759131bb8137a09c,General_Trending_Risky,25712,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x00000000d3cb6df5c2cc02945e81cbae1ec94449,General_Trending_Risky,21581,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x2fdbb4cc126306cfae8c83d8cc763504461c447b,General_Trending_Risky,20390,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2024-01-11,0x000000000027583d895e5c06b7b9e96762c1e165,General_Trending_Risky,17119,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000027583d895e5c06b7b9e96762c1e165""}]"
2024-01-11,0x068579f7d6f8ff03f2ea134d3f8852424d8b0062,General_Trending_Risky,16904,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x4cb680a2589d742c30556e359a352f9c511eef54,General_Trending_Risky,16874,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x4cb680a2589d742c30556e359a352f9c511eef54""}]"
2024-01-11,0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67,General_Trending_Risky,15011,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67""}]"
2024-01-11,0xc0e6ad13bd58413ed308729b688d601243e1cf77,General_Trending_Risky,13848,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""mixcoin-related"",""value"":""The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk.""}]"
2024-01-11,0xfdc9018af0e37abf89233554c937eb5068127080,General_Trending_Risky,13837,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfdc9018af0e37abf89233554c937eb5068127080""}]"
2024-01-11,0x9be520b4ee9f702dbafe21eede032f2454010498,General_Trending_Risky,13381,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0xf466f27fb811ab1572ca67ab438e966910f5d9c1,General_Trending_Risky,12745,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf466f27fb811ab1572ca67ab438e966910f5d9c1""}]"
2024-01-11,0x76d9a7c6164de3bc4d95ef0c011d3d22eb8b4d60,General_Trending_Risky,11323,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
2024-01-11,0xc2a70a994556117634bc87c4086af107d09c9863,General_Trending_Risky,10730,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0xfc46b09bf98858b08c5c5deeb5c19e609fabd398,General_Trending_Risky,10068,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfc46b09bf98858b08c5c5deeb5c19e609fabd398""}]"
2024-01-11,0x222228060e7efbb1d78bb5d454581910e3922222,General_Trending_Risky,10013,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2024-01-11,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,9928,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000cc1ffb95df1486af6dacb26d6d1af0""}]"
2024-01-11,0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43,General_Trending_Risky,9468,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43""}]"
2024-01-11,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,General_Trending_Risky,8954,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2024-01-11,0xce93f9827813761665ce348e33768cb1875a9704,General_Trending_Risky,8357,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xce93f9827813761665ce348e33768cb1875a9704""}]"
2024-01-11,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,General_Trending_Risky,7878,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""whitelist"",""value"":""The address is whitelisted based on threat intelligence or manual analysis.""}]"
2024-01-11,0x625b02b687ec38f3085af5b108dda410775fa76a,General_Trending_Risky,7813,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2024-01-11,0xc8370b71329a6b716b867e875667c33488b4a44a,General_Trending_Risky,7760,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]"
