address,type,last_7days_cd_address,last_7days_cd_tx_hash
0x685b594824d71a0526f24ea2549f412c1d7f1d35,Scam,1505,1769
0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67,Scam,1374,8059
0x80fd6dede3bfbf533c717a23d7e23ed5a2118494,Scam,1015,1081
0xebd35ff8ee51aef61defaa05052c7b5117640b39,Scam,946,1295
0xc27b094eca1687c1025a6292169303cb8803abd3,Scam,330,742
0x887f2eb0a707555c2726c2c257e2152bf94b994d,Scam,288,329
0xc903905a41384be8f131ed3a9204c49847f2ce0e,Scam,264,329
0x35d2d93051ecdac9418888607bbad0aa094a7bd6,Scam,250,280
0xa420479d1f34d7ef67f68b5982fa08f436d515bc,Scam,244,255
0xc572fb7e614c681613ba0dfab41bc37f987daf6b,Scam,215,473
0x5160f18eecf400adea97b991e7346e9ca3952dd5,Scam,166,191
0x57472e9e59c5f18c6f4ad2a8b63d95f34e18c826,Scam,62,81
0xfbcf52615f2bbd88c66af3f37986faa3e3f7614d,Scam,60,98
0xf16e57a9f27dda02a25274140c45ec388cc8d146,Scam,57,62
0x19ef9f0f23388e6cdee61a65779c3e006d4625ae,Scam,55,56
0xb73bc1697b567a47e8532b0371a327c20bb51b59,Scam,45,51
0xdeb781b3c4377ae312339f2aa47cbb226f92157c,Scam,44,53
0x6dc70d4e0342da36be4d9d5061fc442d1c443ec1,Scam,42,85
0xd90a145750e010c7aa3dbfac5e23d644f1d44afd,Scam,36,44
0x929625acce321770c747c38cc989b689ee823d90,Scam,28,99
0xa8dd05982db7c1cc9d2e55415550676eb4e6f3e1,Scam,25,30
0xdddbae3dd761107510aa3cbdd47f64c6aa17c453,Scam,21,27
0x48747d325d139b1f9cd29d9381fb73228b9affec,Scam,16,19
0x1b9dfbf6136a0f1bc252ce23bf9a19e38e5fd6e5,Scam,14,25
