update_dt,chain_id,address,risk_level,confidence,risk_descriptions,ref_link
2023-08-24,56,0x98872a66d0749c720d8dc1a80d496b24b04ff7c5,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x61bd058e51ee3d7225e527917edf064bb5463f45,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x63a4f322ed6797dd37dd827d628b2846aaa5955b,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x368ad6d1f01ce887ffd928497f188b2977dd01de,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9b3a7367fb3dafb0a1793a4e6b56a9740899a111,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x684a8f265f223849dbe55e42b72a59fe0677ebe1,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xa08fc8674b137e8f0314473de215ed734d262ef4,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x397e0a50565574fddad39decb4403e85efc6da7e,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x410133916649f6aca0baa71bab00af8859f39427,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xbbe86d676fed08c0d99815f4dea649363bb92922,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xf3c1f7d48c2696e8756f976b113e7d1ddccd87df,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x95d364b615404acee166541d67ea61dcca6afbb3,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x56b9ff21a5ca98bb2815b752dc6b35d2641de1d6,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x099c443b6fb0d8162b8cdde403d94b537589b4c2,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x990730902a37c1d21466501de7ecbf4a199e8018,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xa64d713502ec8ace41af84953ade60afe217e0c4,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x00000000001f8b68515efb546542397d3293ccfd,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x988756f3297cd54aad480f5e2d1d815d73ea2d6a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xfc46b09bf98858b08c5c5deeb5c19e609fabd398,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xb0fb5739da1198329b0241cb6721da22805cbecc,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xb96e1cdd3cce056e23cd03f4369c99594080f681,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xde5de69655fe81084d9511cac4eadc3bb5e2d4fb,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x0982d27ae0d8e4e614441b97597b3552a406953a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x11915d218e7e976a16579e6ee111c210e6da718b,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x4c3145cb6285eb269c37685e05ff8c6684a70ec7,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x8c1e4b8aea59921889fbe7b68b2ae06e2dd2a7a1,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xe41212ba97a2cc0fcd25d9bedf61fdc97d85e5af,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x5d7f63cd0713b35ddde6b081899579bf1db0661a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xc93824f457a11f5603f3c575436c73f416d7839f,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x11acba21aa3510b09e89d8482776a393c32bc8c7,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xb55ea8e765c756ae6885f2d731169cf2dc550d6f,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9c1c46705a729df8bd25154e03a8a57bb28010e5,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x0000553f880ffa3728b290e04e819053a3590000,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xb39d1e503465fc1a9863f4ce10c0a7afea7bbc8f,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xd08f7b01fdd26928dcdc956610a5332f17b3ea11,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9af1ecca0b69922f2a5400f0dc770f27c968dca9,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x0f9adaaccd7caecc5019194e15ad19624fed95fa,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x8acc347187b7ed5d7db3d86477fb2f1c1b70210d,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
