title,description,ref_link,priority,item,item_type,chain_id,addresses,timestamp
Risky Warning,Detected a potential security alert from a Top Project:trondao on Twitter,https://twitter.com/trondao/status/1757852888481829031 ,2,1757852888481829031_1707939772,metadata,,,1707939772
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x98386223471576717a8a2147c4df8c847452d286458d111b862cbf6348686228 ,2,0x98386223471576717a8a2147c4df8c847452d286458d111b862cbf6348686228,tx_hash,56,0x8dfb50b3a38ffcedacae1487c07fcf6daf7d30cd;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x509936d8a38acf4f5036f2d00b5f9e6d280e3224,1707939613
Risky Warning,Detected a potential security alert from a Top Project:benqifinance on Twitter,https://twitter.com/benqifinance/status/1757851104778305950 ,2,1757851104778305950_1707939347,metadata,,,1707939347
Risky Warning,"Detected a significant drop in LP supply, a potential indicator of rug pull risk",https://www.dextools.io/app/en/bnb/pair-explorer/0x7acdf50de13bcd72d38f75474b86a1eeba9251f1,1,0x7acdf50de13bcd72d38f75474b86a1eeba9251f1,address,56,0x7acdf50de13bcd72d38f75474b86a1eeba9251f1;0x55d398326f99059ff775485246999027b3197955;0xe991b9e0bc53ebc1f0e7cec61001e9fbf785fb09,1707939020
Risky Warning,Detected a potential security alert from a Top Project:gitcoin on Twitter,https://twitter.com/gitcoin/status/1757849388024557692 ,2,1757849388024557692_1707938938,metadata,,,1707938938
Risky Warning,Detected a potential security alert from a Top Project:gitcoin on Twitter,https://twitter.com/gitcoin/status/1757849353006277021 ,2,1757849353006277021_1707938930,metadata,,,1707938930
Risky Warning,Detected a potential security alert from a Top Project:nearprotocol on Twitter,https://twitter.com/nearprotocol/status/1757845913911890296 ,2,1757845913911890296_1707938110,metadata,,,1707938110
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xf40980ad04a61fa84cb86465972390342a2c5962a0e4117d894fe1ced9cda695 ,2,0xf40980ad04a61fa84cb86465972390342a2c5962a0e4117d894fe1ced9cda695,tx_hash,56,0x2b4f1008f014792910a61b860fb261fa88fc00ea;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xce1db72600fcb2fd4a3b3c8468504db0eeb08db6,1707937682
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x10bb1b944d6b65927e215812c5b106329c6f902d1c3b60a3620f0cfcc47db064 ,2,0x10bb1b944d6b65927e215812c5b106329c6f902d1c3b60a3620f0cfcc47db064,tx_hash,56,0xb270bfbebb1b92cb5e395be32ab54c720e6e0cda;0x6ebb51f0d8146aba88491bc3cab23df35891af17;0xd3f6239dd84893ffb94ccd57e1c4db0408108509;0xb321921df9c4d4790d54d2b6e4dd93c5cd4d061a,1707937438
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x10bb1b944d6b65927e215812c5b106329c6f902d1c3b60a3620f0cfcc47db064 ,2,0x10bb1b944d6b65927e215812c5b106329c6f902d1c3b60a3620f0cfcc47db064,tx_hash,56,0x6c3cedf912974630bd38dd20b0da842d5a4fd327;0x6ebb51f0d8146aba88491bc3cab23df35891af17;0xd3f6239dd84893ffb94ccd57e1c4db0408108509;0xb321921df9c4d4790d54d2b6e4dd93c5cd4d061a,1707937437
Risky Warning,Detected a potential security alert from a Top Project:arbitrum on Twitter,https://twitter.com/arbitrum/status/1757842290674946310 ,2,1757842290674946310_1707937246,metadata,,,1707937246
Risky Warning,Detected a potential security alert from a Top Project:ensdomains on Twitter,https://twitter.com/ensdomains/status/1757842149285015714 ,2,1757842149285015714_1707937212,metadata,,,1707937212
Risky Warning,Detected a potential security alert from a Top Project:nervosnetwork on Twitter,https://twitter.com/nervosnetwork/status/1757840290646536386 ,2,1757840290646536386_1707936769,metadata,,,1707936769
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x3db2b13e92380932eb280e47f3bc026a4e329bb81a7760ce244edb7af97fd5dd ,2,0x3db2b13e92380932eb280e47f3bc026a4e329bb81a7760ce244edb7af97fd5dd,tx_hash,56,0xc5bf072d9eaa226116794c6dd3568f1229a7c3cf;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xe5f81f8fcfc47dcbd298200b4d43ad961a600b70,1707935758
Risky Warning,Detected a potential security alert from SecurityKOL:MistTrack_io on Twitter,https://twitter.com/MistTrack_io/status/1757835767290966464 ,2,MistTrack_io_1757835767290966464,metadata,,0xa59043767171f7f611db4e3434da0280c7f1fb42;0x56a7318862295d7fffa65aa4d691754a4c514e5a,1707935680
Risky Warning,Detected a potential security alert from SecurityKOL:spreekaway on Twitter,https://twitter.com/spreekaway/status/1757834118887252260 ,2,spreekaway_1757834118887252260,metadata,,,1707935287
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x3ae267d5f09066d8c788cbf2735e13d6e23c75531ce0a9eb83e371ce988e830d ,2,0x3ae267d5f09066d8c788cbf2735e13d6e23c75531ce0a9eb83e371ce988e830d,tx_hash,56,0x1daab29cf809ebc1e11757acf4eacb4a29a2d76a;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x9e52aa22bad2711cf6b357a763567ccbe38c8930,1707933816
Risky Warning,Detected a potential security alert from a Top Project:secretnetwork on Twitter,https://twitter.com/secretnetwork/status/1757823269762121728 ,2,1757823269762121728_1707932711,metadata,,,1707932711
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1757822503215333706 ,2,PeckShieldAlert_1757822503215333706,metadata,,,1707932518
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xb8a8c0373fe7bf5a10b6425100f49202d7fb08bd890aeec33abcf51435f936ed ,2,0xb8a8c0373fe7bf5a10b6425100f49202d7fb08bd890aeec33abcf51435f936ed,tx_hash,56,0xd15ed86e797f3c52609638439bec1d33024ed23c;0x6ebb51f0d8146aba88491bc3cab23df35891af17;0x7218d9ec36f4f75cbfea8d1f7347b420dea3008d;0x3e1b73a1b51a013bb90c824e52cb74432415f8cf,1707932056
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xb8a8c0373fe7bf5a10b6425100f49202d7fb08bd890aeec33abcf51435f936ed ,2,0xb8a8c0373fe7bf5a10b6425100f49202d7fb08bd890aeec33abcf51435f936ed,tx_hash,56,0x8449c275f50973aee5ce514fcc6c47a786ad8acb;0x6ebb51f0d8146aba88491bc3cab23df35891af17;0x7218d9ec36f4f75cbfea8d1f7347b420dea3008d;0x3e1b73a1b51a013bb90c824e52cb74432415f8cf,1707932056
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x0a0ee9ebb42406f346d136906bc6b16734707bebcfc030f31c037fe0783dabf3 ,2,0x0a0ee9ebb42406f346d136906bc6b16734707bebcfc030f31c037fe0783dabf3,tx_hash,56,0x5f5aa6b4f1c694ea81505e811eb4dd1e7a67ea08;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xada9910a18ba2026fef1f4bf8072c6d5caf44bc2,1707931900
Risky Warning,Detected a potential security alert from SecurityKOL:hexagate_ on Twitter,https://twitter.com/hexagate_/status/1757819586701881390 ,3,hexagate__1757819586701881390,metadata,,,1707931822
Risky Warning,Detected a potential security alert from a Top Project:reserveprotocol on Twitter,https://twitter.com/reserveprotocol/status/1757815683880988805 ,2,1757815683880988805_1707930902,metadata,,,1707930902
Risky Warning,Detected a potential security alert from a Top Project:secretnetwork on Twitter,https://twitter.com/secretnetwork/status/1757814599099842834 ,2,1757814599099842834_1707930644,metadata,,,1707930644
Risky Warning,Detected a potential security alert from a Top Project:lidofinance on Twitter,https://twitter.com/lidofinance/status/1757813807735300416 ,2,1757813807735300416_1707930455,metadata,,,1707930455
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xf65e04b3e8673ecb6c61675abfae5bb285aeb915b2f6ee5fc273b059d542c450 ,2,0xf65e04b3e8673ecb6c61675abfae5bb285aeb915b2f6ee5fc273b059d542c450,tx_hash,56,0x7bad6c27094a7c7e0836f933aa5656491d8c43a2;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x81219c446446f99e9def00a70c85e69d054ee731,1707930002
Risky Warning,Detected a potential security alert from a Top Project:gitcoin on Twitter,https://twitter.com/gitcoin/status/1757811576277733424 ,2,1757811576277733424_1707929923,metadata,,,1707929923
Risky Warning,Detected a potential security alert from a Top Project:arbitrum on Twitter,https://twitter.com/arbitrum/status/1757810796787040352 ,2,1757810796787040352_1707929737,metadata,,,1707929737
Risky Warning,Detected a potential security alert from a Top Project:benqifinance on Twitter,https://twitter.com/benqifinance/status/1757807933658628251 ,2,1757807933658628251_1707929055,metadata,,,1707929055
Risky Warning,Detected a potential security alert from a Top Project:firoorg on Twitter,https://twitter.com/firoorg/status/1757803794736538025 ,2,1757803794736538025_1707928067,metadata,,,1707928067
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xff9c78e90e21dc3d299c24f96395a2ea764c30b649b9834bd7594d00e634c51a ,2,0xff9c78e90e21dc3d299c24f96395a2ea764c30b649b9834bd7594d00e634c51a,tx_hash,56,0xe2e7ad523845baf5367fbec599ff81578054c7b7;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x57055f7a56d6157918e0e0d3fe017e518e6a6666,1707928037
Hack Warning,Detected a potential hack contract,https://bscscan.com/address/0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194 ,1,0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194,address,56,0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194;0x161921ca29c12659df64b53f8af4f27a17926341,1707927829
Hack Warning,Detected a potential hack contract,https://bscscan.com/address/0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194 ,1,0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194,address,56,0xe20837d2f22fc88e89c51c02635ae6a0a1aa3194;0x161921ca29c12659df64b53f8af4f27a17926341,1707927829
Risky Warning,Detected a potential security alert from a Top Project:galxe on Twitter,https://twitter.com/galxe/status/1757798165670142399 ,2,1757798165670142399_1707926725,metadata,,,1707926725
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1757798087500628054 ,2,CertiKAlert_1757798087500628054,metadata,,,1707926697
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1757798085227426143 ,2,CertiKAlert_1757798085227426143,metadata,,,1707926696
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1757798082857582740 ,2,CertiKAlert_1757798082857582740,metadata,,,1707926695
Risky Warning,Detected a potential security alert from SecurityKOL:SlowMist_Team on Twitter,https://twitter.com/SlowMist_Team/status/1757797725679083710 ,3,SlowMist_Team_1757797725679083710,metadata,,,1707926610
Risky Warning,Detected a potential security alert from a Top Project:diadata_org on Twitter,https://twitter.com/diadata_org/status/1757795806038421548 ,2,1757795806038421548_1707926163,metadata,,,1707926163
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x548ce30a247f851627c734b166152b114ae26b01416ec11d837380c3c4b7f2fc ,2,0x548ce30a247f851627c734b166152b114ae26b01416ec11d837380c3c4b7f2fc,tx_hash,56,0xec1f853e4af6f81a75ddfccf6d4d29e0188cb045;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x8826090f24b6c760551d190adea910571714333d,1707926114
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1757790889181602243 ,2,CyversAlerts_1757790889181602243,metadata,,,1707924980
Risky Warning,Detected a potential security alert from a Top Project:fantomfdn on Twitter,https://twitter.com/fantomfdn/status/1757789055863996556 ,2,1757789055863996556_1707924554,metadata,,,1707924554
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1757787955232424189 ,2,CertiKAlert_1757787955232424189,metadata,,,1707924281
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x2446c62b9254fcbe8d29fae097f6ca7f52030f2a2c143d975bfaa024c0d62684 ,2,0x2446c62b9254fcbe8d29fae097f6ca7f52030f2a2c143d975bfaa024c0d62684,tx_hash,56,0x0bd28fdc2617bb0821daa46f6edad3545e8518cb;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x4e550718ae824178c0d3693b6bfb7dde48ec488d,1707924110
Risky Warning,Detected a potential security alert from a Top Project:yearnfi on Twitter,https://twitter.com/yearnfi/status/1757786198959898960 ,2,1757786198959898960_1707923872,metadata,,,1707923872
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x00cb8c74828968a5fd83ffb38bc920c3f905c7a6611babc30bda1662c5a6d92e ,2,0x00cb8c74828968a5fd83ffb38bc920c3f905c7a6611babc30bda1662c5a6d92e,tx_hash,56,0x9e9f28c7ffd04b0364fe1acf396164562fd430e6;0x776991f123ef323c2654b190fde21a99241f37a4,1707923755
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1757785361739071836 ,2,CyversAlerts_1757785361739071836,metadata,,,1707923662
Risky Warning,Detected a potential security alert from SecurityKOL:samczsun on Twitter,https://twitter.com/samczsun/status/1757784873312633131 ,2,samczsun_1757784873312633131,metadata,,,1707923546
Risky Warning,Detected a potential security alert from SecurityKOL:samczsun on Twitter,https://twitter.com/samczsun/status/1757784867163832397 ,2,samczsun_1757784867163832397,metadata,,,1707923545
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1757783968789737554 ,2,CyversAlerts_1757783968789737554,metadata,,,1707923330
Risky Warning,Detected a potential security alert from SecurityKOL:De_FiSecurity on Twitter,https://twitter.com/De_FiSecurity/status/1757780903340786075 ,2,De_FiSecurity_1757780903340786075,metadata,,,1707922600
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1757780069672456376 ,2,CyversAlerts_1757780069672456376,metadata,,,1707922401
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xcbd2dacedcc418aa91f138c0c964aa6ae7d6527f48bc734b7ca970245af94b89 ,2,0xcbd2dacedcc418aa91f138c0c964aa6ae7d6527f48bc734b7ca970245af94b89,tx_hash,56,0x1b180d3edf12762ebc122456fa54a5e81bcf2d57;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xba7b0a769509a44bf6d49590aafa10ea6044794d,1707922122
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x1c82913aab9a1d8a5ec0d82247ad24e42d8d9cf56e12dac55eaf4faf1224ec62 ,2,0x1c82913aab9a1d8a5ec0d82247ad24e42d8d9cf56e12dac55eaf4faf1224ec62,tx_hash,56,0x1f490e99657cd08a058c6bb6cd81dd38f59e0e7a;0xf5b3a6a6e6be566790e5ac371099688ae6cf201d,1707921835
Risky Warning,Detected a potential security alert from SecurityKOL:Phalcon_xyz on Twitter,https://twitter.com/Phalcon_xyz/status/1757777340002681326 ,2,Phalcon_xyz_1757777340002681326,metadata,,,1707921750
Risky Warning,Detected a potential security alert from SecurityKOL:Phalcon_xyz on Twitter,https://twitter.com/Phalcon_xyz/status/1757777209664671987 ,2,Phalcon_xyz_1757777209664671987,metadata,,,1707921719
Risky Warning,Detected a potential security alert from a Top Project:ssv_network on Twitter,https://twitter.com/ssv_network/status/1757773698155880510 ,2,1757773698155880510_1707920892,metadata,,,1707920892
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x33a06376549524f99ced361ff75ee5f1a336b53808e5adf850e3962b38c31d51 ,2,0x33a06376549524f99ced361ff75ee5f1a336b53808e5adf850e3962b38c31d51,tx_hash,56,0x680d3113caf77b61b510f332d5ef4cf5b41a761d;0xbf3039b0bb672b268e8384e30d81b1e6a8a43b2c,1707920856
Risky Warning,Detected a potential security alert from a Top Project:vechainofficial on Twitter,https://twitter.com/vechainofficial/status/1757771313958043964 ,2,1757771313958043964_1707920323,metadata,,,1707920323
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x72d0750047d6e6ce621e80c5b232cca67909d744d8a091e78a7f2aa459c8367f ,2,0x72d0750047d6e6ce621e80c5b232cca67909d744d8a091e78a7f2aa459c8367f,tx_hash,56,0x3f451e9a8062cd7d383ece882188ad7378555e30;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xf2442184c6a02acd79f8ee27b4172f5cece75f4a,1707920231
Risky Warning,Detected a potential security alert from a Top Project:cartesiproject on Twitter,https://twitter.com/cartesiproject/status/1757766644053733455 ,2,1757766644053733455_1707919210,metadata,,,1707919210
Risky Warning,Detected a potential security alert from a Top Project:mavprotocol on Twitter,https://twitter.com/mavprotocol/status/1757766352855503269 ,2,1757766352855503269_1707919141,metadata,,,1707919141
Risky Warning,Detected a potential security alert from a Top Project:linearfinance on Twitter,https://twitter.com/linearfinance/status/1757764358963109979 ,2,1757764358963109979_1707918665,metadata,,,1707918665
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xee43362a9bc63873fca1127065286dddf2ed39b607d15fba8a07c918a7d8ba2e ,2,0xee43362a9bc63873fca1127065286dddf2ed39b607d15fba8a07c918a7d8ba2e,tx_hash,56,0x9cc07228c37c3b424cd51859790d5574f22fb77d;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x3e7b590df2919e55dd892fdd0e81d35a7932809d,1707918324
Risky Warning,Detected a potential security alert from a Top Project:phalanetwork on Twitter,https://twitter.com/phalanetwork/status/1757756446932971758 ,2,1757756446932971758_1707916779,metadata,,,1707916779
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xa98d3cbae1633d8ad980a2f0fedb754744ffcb5c5bc84d7b2613398bde4b3f31 ,2,0xa98d3cbae1633d8ad980a2f0fedb754744ffcb5c5bc84d7b2613398bde4b3f31,tx_hash,56,0x6c996223e10d6bbf98cee65cdd1bbefbdd98dca5;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xa593a358e4dc6cf12d78e5deac6290bda9d99c18,1707916368
Risky Warning,Detected a potential security alert from a Top Project:chainlink on Twitter,https://twitter.com/chainlink/status/1757750892160315572 ,2,1757750892160315572_1707915455,metadata,,,1707915455
