title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,opbnb overall bridged BNB amount abnormal,https://opbnbscan.com/statistics ,2,204,chain,204,,,1709770980
Risky Warning,KiloEx DecreasePosition PNL too big,https://explorer.phalcon.xyz/tx/bsc/0xdc1e3fafcd08b665f431731843183452d2eb9c6593e78fd0acc197a91e86070e ,3,0xdc1e3fafcd08b665f431731843183452d2eb9c6593e78fd0acc197a91e86070e,tx_hash,56,0xf83b4c5dd3177dcc30fcbb7cef75669640616838,0xd37cc2c49f5051bba6ae481e80d679c8454494cc;0x298e94d5494e7c461a05903dcf41910e0125d019,1709702913
Risky Warning,KiloEx DecreasePosition PNL too big,https://explorer.phalcon.xyz/tx/bsc/0x85b85b08de8fc9948764884408d442f0bf2710dbcbfd40d63618c51fab608e6d ,3,0x85b85b08de8fc9948764884408d442f0bf2710dbcbfd40d63618c51fab608e6d,tx_hash,56,0xcbb301691aa9a7d33d183c9a7a550cb4b3663dea,0xd37cc2c49f5051bba6ae481e80d679c8454494cc;0x298e94d5494e7c461a05903dcf41910e0125d019,1709677523
Risky Warning,KiloEx Stake_Redeem changed amount too big,https://explorer.phalcon.xyz/tx/bsc/0x0d31a2192c63f8ff415d48b240c5a3b9f24070a237b500f7f70980e5aa75ad55 ,3,0x0d31a2192c63f8ff415d48b240c5a3b9f24070a237b500f7f70980e5aa75ad55,tx_hash,56,0x93a95ad4e6d78afc46db8bb1e05c66e4cb36c66a,0x93a95ad4e6d78afc46db8bb1e05c66e4cb36c66a;0x1c3f35f7883fc4ea8c4bca1507144dc6087ad0fb,1709677509
Risky Warning,KiloEx DecreasePosition PNL too big,https://explorer.phalcon.xyz/tx/bsc/0xfb3e0ea8c918981198f961397202b21f3feaab3dbfa3609e0f26f42336cd9f5b ,3,0xfb3e0ea8c918981198f961397202b21f3feaab3dbfa3609e0f26f42336cd9f5b,tx_hash,56,0x5913f0de8d564bf5914757d841ade84f7d3d91b4,0x86c39018081b627c481c43d5cf4515885dd6034f;0x298e94d5494e7c461a05903dcf41910e0125d019,1709612727
