title,description,ref_link,priority,item,item_type,chain_id,addresses,timestamp
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1761100920232829262 ,3,CyversAlerts_1761100920232829262,metadata,,,1708714153
Risky Warning,Detected a potential security alert from a Top Project:santosfc on Twitter,https://twitter.com/santosfc/status/1761097295347552334 ,2,1761097295347552334_1708713300,metadata,,,1708713300
Risky Warning,Detected a potential security alert from a Top Project:santosfc on Twitter,https://twitter.com/santosfc/status/1761095959973437698 ,2,1761095959973437698_1708712982,metadata,,,1708712982
Risky Warning,Detected a potential security alert from a Top Project:santosfc on Twitter,https://twitter.com/santosfc/status/1761092418521243666 ,2,1761092418521243666_1708712137,metadata,,,1708712137
Risky Warning,Detected a potential security alert from a Top Project:zcash on Twitter,https://twitter.com/zcash/status/1761089724771443033 ,2,1761089724771443033_1708711494,metadata,,,1708711494
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x1368f0c37b6e29ddc0090f90fe78d1250356dcc30d0a184395f43b2bc50195c2 ,2,0x1368f0c37b6e29ddc0090f90fe78d1250356dcc30d0a184395f43b2bc50195c2,tx_hash,56,0x1c3916ac5c2be1a2d986f7d96220deafdcc87313;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x74729917d23649958bbff6ae8d21e4d96c37d227,1708711394
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x2838f4caf4ff8637c02554294bce79a30b02956a9cbe9d38c8ce938fba71d0a2 ,2,0x2838f4caf4ff8637c02554294bce79a30b02956a9cbe9d38c8ce938fba71d0a2,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711194
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xb4c381d73188d275830c3c6cb5b747e3bc38d1c72c3b85df2bd1d5438a347abd ,2,0xb4c381d73188d275830c3c6cb5b747e3bc38d1c72c3b85df2bd1d5438a347abd,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711175
Risky Warning,Detected a potential security alert from a Top Project:shibtoken on Twitter,https://twitter.com/shibtoken/status/1761088325895463334 ,2,1761088325895463334_1708711161,metadata,,,1708711161
Risky Warning,Detected a potential security alert from a Top Project:shibtoken on Twitter,https://twitter.com/shibtoken/status/1761088322653339959 ,2,1761088322653339959_1708711160,metadata,,,1708711160
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x8b9ad9e81a8ed922be1551e21ffbf8555c7b6dcebcbac54c9ceb829e44074fd4 ,2,0x8b9ad9e81a8ed922be1551e21ffbf8555c7b6dcebcbac54c9ceb829e44074fd4,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711159
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x4683fedb92261c5667b36ad00d251bf57f8f9ed638389e5ee1104d6ad8fed58d ,2,0x4683fedb92261c5667b36ad00d251bf57f8f9ed638389e5ee1104d6ad8fed58d,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711138
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x363ce8b4fd68a0473a5a1aca36b6cdf1c41f1d4d8e9f1be3cc90a49dcfde919e ,2,0x363ce8b4fd68a0473a5a1aca36b6cdf1c41f1d4d8e9f1be3cc90a49dcfde919e,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711118
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x48f113c016dedcbb6a52edbb78db0996724ca4c760b1952c131ab9991c27438c ,2,0x48f113c016dedcbb6a52edbb78db0996724ca4c760b1952c131ab9991c27438c,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711097
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xd11c063d65fa4d53c14303eedf15ee59b554de8bbc1446a7fcfaca49e1f8500a ,2,0xd11c063d65fa4d53c14303eedf15ee59b554de8bbc1446a7fcfaca49e1f8500a,tx_hash,56,0x024630855efce66af98ade5359d23522b7ed59b4;0x453ebf774dfd1e63819864d3a2d69a6c9360d526,1708711080
