title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x5e7cbb7ebf0c30fcdfdb47d63a4023aa1390a041ea1a5884a1cfa6ffbd3f6789,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xdbf5e9c5206d0db70a90108bf936da60221dc080;0x2efb50e952580f4ff32d8d2122853432bbf2e204;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1709607328
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x5a6f208d6999501da9cc22658ebd7703294bd8b4bbf11aae7eb35bf4995b5898,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x22710530bc71c0f294946ce6c7088a6f6f163950;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1709607206
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xfb3d3f8793546213c31a924b63b9774254ec7b68f9a2ec3f7a5968ac054a8756,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x73af3bcf944a6559933396c1577b257e2054d935;0x40b38765696e3d5d8d9d834d8aad4bb6e418e489;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1709607197
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xf2103b3b9c7908797ccb85343877db3d4614815a4774eacae3db4ff727f3c6fa,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x07f9ae606f41e19c9a9524f19639cf3c2b301da6;0x22710530bc71c0f294946ce6c7088a6f6f163950;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1709606886
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://explorer.phalcon.xyz/tx/bsc/0xf6fa89afd7038834b4360f7187639e249c137d1090de0c9af39d343d914358e8,2,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,address,56,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,0x989536719a72cfd50348ccd5521256c7eb41a999;0xeca88125a5adbe82614ffc12d0db554e2e2867c8,1709606731
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://explorer.phalcon.xyz/tx/bsc/0x6b767e8047f9c3212f88f065dbcc436588b161ed247e640958a9602c098bb1b9,2,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,address,56,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,0x989536719a72cfd50348ccd5521256c7eb41a999;0xeca88125a5adbe82614ffc12d0db554e2e2867c8,1709606441
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://etherscan.io/tx/0xaf0df86e628810b7465475926a1fc7142c05b29f1861f7c1d328f19510d3ed2e,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6122c109b78c6755486966148c1d70a50a47d7;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0x55fe002aeff02f77364de339a1292923a15844b8,1709606363
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xc80328e721cec9a2e3be36cf6ced807ef883c9c7fd7603dacc076e0d818c924c,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x73af3bcf944a6559933396c1577b257e2054d935;0x40b38765696e3d5d8d9d834d8aad4bb6e418e489;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1709606257
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0xb5847e49ffcfb3c8a851c3e81843d2b2c35f2f1ea144391392e5430e977e1f8d,3,0xb9d35811424600fa9e8cd62a0471fbd025131cb8,address,56,0xb9d35811424600fa9e8cd62a0471fbd025131cb8,0xe0a616c3659be29567e08819772e6905307adf21;0x918fd08a26177e60b550b231c12e062d1c2b0830;0xb9d35811424600fa9e8cd62a0471fbd025131cb8,1709606221
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://explorer.phalcon.xyz/tx/bsc/0x251558251ed486a654ce993e0a4260cef6c1c73caca14cadacca85843e6c4dda,2,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,address,56,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,0xa15aef397f9dc9de23c8e3df8a289b21d4ca8fcd;0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,1709606135
Hack Warning,Detected a potential hack contract,https://bscscan.com/address/0xecf56106be612e68445be359af4c12df2498bb0c ,2,0xecf56106be612e68445be359af4c12df2498bb0c,address,56,0xecf56106be612e68445be359af4c12df2498bb0c,0xc863fd5da873b85e1cd62db65ca2163378a21df4,1709606049
Hack Warning,Detected a potential hack contract,https://bscscan.com/address/0xd32aae92665f9db444ace2aedfd0bac546880cdd ,2,0xd32aae92665f9db444ace2aedfd0bac546880cdd,address,56,0xd32aae92665f9db444ace2aedfd0bac546880cdd,0xfcf32a6b925384190c1437528871239f9bc0a06d,1709606049
