title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x8db4b8fc3276e5fd89d7b03c812e31d2c9be950eaa8b9e774487c6e973d38009,1,0x8db4b8fc3276e5fd89d7b03c812e31d2c9be950eaa8b9e774487c6e973d38009,tx_hash,56,0x66207e39bb77e6b99aab56795c7c340c08520d83,0x66207e39bb77e6b99aab56795c7c340c08520d83;0x0febb2991f71bfeba0579fd41b7841425b48fb42;0x6d17b3f12059eb2ee0b1dccc79dad77bcba870dc,1708938001
Risky Warning,Detected a potential security alert from a Top Project:nano on Twitter,https://twitter.com/nano/status/1762032172137939423 ,2,1762032172137939423_1708936191,metadata,,,,1708936191
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1762030349612147140 ,2,CertiKAlert_1762030349612147140,metadata,,,,1708935746
Risky Warning,Detected a potential security alert from a Top Project:pendle_fi on Twitter,https://twitter.com/pendle_fi/status/1762024763755839878 ,2,1762024763755839878_1708934425,metadata,,,,1708934425
Risky Warning,Detected a potential security alert from a Top Project:pendle_fi on Twitter,https://twitter.com/pendle_fi/status/1762024326243704900 ,2,1762024326243704900_1708934321,metadata,,,,1708934321
Risky Warning,"Detected a change in the Owner role, which could indicate a potential risk of rug pull or private key compromise",https://bscscan.com/address/0x8e518202c9575722183da92555fe64940aaa9c50 current_owner: https://bscscan.com/address/0x81E5613EeF7bd1c0fb58D3D5a948f7F111ae7E02,1,0x8e518202c9575722183da92555fe64940aaa9c50,address,56,0x8e518202c9575722183da92555fe64940aaa9c50,0x8e518202c9575722183da92555fe64940aaa9c50;0x81e5613eef7bd1c0fb58d3d5a948f7f111ae7e02;0x28129dcbb7b057a8d702a59d9c25f8afbc2e2ddb,1708933564
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1762015168454861022 ,2,PeckShieldAlert_1762015168454861022,metadata,,,,1708932127
Risky Warning,"Detected a potentially risky privileged call, which may suggest a possible rug pull or private key compromise risk",https://explorer.phalcon.xyz/tx/bsc/0x4687547eac312f3d9f384a9f423786a955dc0627b2db5742b4ebe6c6fd65e982,1,0x4687547eac312f3d9f384a9f423786a955dc0627b2db5742b4ebe6c6fd65e982,tx_hash,56,0x8e518202c9575722183da92555fe64940aaa9c50,0x8e518202c9575722183da92555fe64940aaa9c50;0x28129dcbb7b057a8d702a59d9c25f8afbc2e2ddb,1708932113
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1762014980814319913 ,2,PeckShieldAlert_1762014980814319913,metadata,,,,1708932082
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x8b835cefa8dcd10754b1f165215dadd1c3fb6c19f4856347b483ce9c8b0a81be ,2,0x8b835cefa8dcd10754b1f165215dadd1c3fb6c19f4856347b483ce9c8b0a81be,tx_hash,56,0x48768248d890814efbe4c69d879e098fc99b14c8,0x48768248d890814efbe4c69d879e098fc99b14c8;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x71e2402193984fadce63906be37f859325ac290d,1708931362
Risky Warning,Detected a potential security alert from SecurityKOL:CyversAlerts on Twitter,https://twitter.com/CyversAlerts/status/1762006399968485425 ,2,CyversAlerts_1762006399968485425,metadata,,,0x693b725a375f599f0b6efa0d910e749e1bec1555;0x8cfdad729de89f09a188312839a0ec3b1522e107,1708930036
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x45949c24f5c30c6c536d6438cd8a5b211607e39f9d82813bfe301e70766414a3 ,2,0x45949c24f5c30c6c536d6438cd8a5b211607e39f9d82813bfe301e70766414a3,tx_hash,56,0x27412e6105af8cf1b26977dc66dcbd9a199f5dae,0x27412e6105af8cf1b26977dc66dcbd9a199f5dae;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x3bd21caba5f405f3bc4a2c8998bc51d977b627e5,1708929431
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xfe488bea7c4a773dc05a79c365148e3fd2a7e067b68977dc55c329e9c02bfb88 ,2,0xfe488bea7c4a773dc05a79c365148e3fd2a7e067b68977dc55c329e9c02bfb88,tx_hash,56,0xd12eb6ca20e90288fd7b9f7b5bda10e3906f8c5a,0xd12eb6ca20e90288fd7b9f7b5bda10e3906f8c5a;0x9e3a65a239564f008cb0f1f666b144c23dc29342;0xed355ed0c4d9b7d102920d948a18a22e5ffd4e03;0x41a1ef3d81d091465f22e8ed2a7e06d59a8532b7,1708928794
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x5257e58a42f1beb779bf3437e0c1c067bc5b22d0dd6a8aae97f7fd650a7ad4f3,1,0x5257e58a42f1beb779bf3437e0c1c067bc5b22d0dd6a8aae97f7fd650a7ad4f3,tx_hash,56,0x66207e39bb77e6b99aab56795c7c340c08520d83,0x66207e39bb77e6b99aab56795c7c340c08520d83;0x065f217d88fde665fea4b312aef3aa3b00287b59;0x0febb2991f71bfeba0579fd41b7841425b48fb42,1708928513
Risky Warning,"Detected that the implementation behind a proxy contract was modified, which could hint at a potential rug pull",https://bscscan.com/address/0x7c9e73d4c71dae564d41f78d56439bb4ba87592f current_impl: https://bscscan.com/address/0xf19c0106fad0892b6d9f5db0ae1c9a2cfd14635b#code,1,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f,address,56,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f;0xf19c0106fad0892b6d9f5db0ae1c9a2cfd14635b;0xb48bb0ea03adc9d75842e993a43faf0dbb7f4162;0x5379f32c8d5f663eacb61eef63f722950294f452;0x2d5408f2287bf9f9b05404794459a846651d0a59,1708927889
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x0eea906c4e5ad44d2fdba9eb0e790268b10e0f0ff14860056b4fbb8d68ff4973 ,2,0x0eea906c4e5ad44d2fdba9eb0e790268b10e0f0ff14860056b4fbb8d68ff4973,tx_hash,56,0x9754fe3cd887ceefc0d5d256802b456294d1e975,0x9754fe3cd887ceefc0d5d256802b456294d1e975;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xf9a3f1baa67ee6105a77b083828582a560ebdc26,1708927552
Risky Warning,Detected a potential security alert from SecurityKOL:CertiKAlert on Twitter,https://twitter.com/CertiKAlert/status/1761992167772582006 ,2,CertiKAlert_1761992167772582006,metadata,,,,1708926643
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1761990935712604338 ,2,PeckShieldAlert_1761990935712604338,metadata,,,,1708926349
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xf5e6a4da0d154d5ba64756727603e9547c535fcad53d57bf59f42d79acd6f695 ,2,0xf5e6a4da0d154d5ba64756727603e9547c535fcad53d57bf59f42d79acd6f695,tx_hash,56,0x635af041a11edfda558c5d6138c840a621f5fe01,0x635af041a11edfda558c5d6138c840a621f5fe01;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xcfb27a0fbc9e4c7a224456dbe52eda8b9d8a1bdc,1708925604
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1761983831610175987 ,2,PeckShieldAlert_1761983831610175987,metadata,,,,1708924656
Risky Warning,Detected a potential security alert from a Top Project:secretnetwork on Twitter,https://twitter.com/secretnetwork/status/1761982438354374958 ,2,1761982438354374958_1708924334,metadata,,,,1708924334
Risky Warning,"Detected that the implementation behind a proxy contract was modified, which could hint at a potential rug pull",https://bscscan.com/address/0x7c9e73d4c71dae564d41f78d56439bb4ba87592f current_impl: https://bscscan.com/address/0xb48bb0ea03adc9d75842e993a43faf0dbb7f4162#code,1,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f,address,56,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f,0x7c9e73d4c71dae564d41f78d56439bb4ba87592f;0xb48bb0ea03adc9d75842e993a43faf0dbb7f4162;0xf19c0106fad0892b6d9f5db0ae1c9a2cfd14635b;0x5379f32c8d5f663eacb61eef63f722950294f452;0x2d5408f2287bf9f9b05404794459a846651d0a59,1708924274
Risky Warning,Detected a potential security alert from SecurityKOL:MistTrack_io on Twitter,https://twitter.com/MistTrack_io/status/1761981658029523115 ,2,MistTrack_io_1761981658029523115,metadata,,,0x3528ea74cd36b2174fb1102f643cb285a1f0cea0;0x40d5ffa20fc0df6be4d9991938daa54e6919c714,1708924137
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x0cfb030112239ef7a13fd7ec5d3045fb302bbf7129e5da70eff9f063019eafb7 ,2,0x0cfb030112239ef7a13fd7ec5d3045fb302bbf7129e5da70eff9f063019eafb7,tx_hash,56,0xd414f52b4c85da6aebff4c9eebdc1cc0f217fd26,0xd414f52b4c85da6aebff4c9eebdc1cc0f217fd26;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xec58fee00848982785d3bed8a93a423730ada614,1708923617
