title,description,ref_link,priority,item,item_type,chain_id,addresses,timestamp
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x3a1c93f2ab3312114a61cc0bddff3988956b3000e2a50375bb359d1d081ce6b8 ,2,0x3a1c93f2ab3312114a61cc0bddff3988956b3000e2a50375bb359d1d081ce6b8,tx_hash,56,0xaba5599b165aa0d79401429d243c245476f19e1b;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xa5276e4d6578dab0758b4de1b272f9ad1dabfee8,1707130118
Risky Warning,Detected a potential security alert from a Top Project:mdextech on Twitter,https://twitter.com/mdextech/status/1754451570513895596 ,2,1754451570513895596_1707128842,metadata,,,1707128842
Risky Warning,Detected a potential security alert from a Top Project:astarnetwork on Twitter,https://twitter.com/astarnetwork/status/1754449696314314874 ,2,1754449696314314874_1707128514,metadata,,,1707128514
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x17b0b15ae2db9981b6c89d1007fc6180ece6f88dc226c315a64e1fd58244ec71 ,2,0x17b0b15ae2db9981b6c89d1007fc6180ece6f88dc226c315a64e1fd58244ec71,tx_hash,56,0xdeb0349e717f796cc26f7f66b637e321be3f390e;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x99fdb29c959b8b82a2fa6a64bf5ae68370c680ab,1707127541
Risky Warning,Detected a potential security alert from a Top Project:pancakeswap on Twitter,https://twitter.com/pancakeswap/status/1754444992700133655 ,2,1754444992700133655_1707127267,metadata,,,1707127267
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xf8135019e7ea42b411d8ab96d17043425e59c02b41379bce70c939e1a7caae19 ,2,0xf8135019e7ea42b411d8ab96d17043425e59c02b41379bce70c939e1a7caae19,tx_hash,56,0x8f053943e40aee932ab3eba11cbc16b4bff932e3;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xaaac1321b91a667fbdccc6b68eda0c9d487894fa,1707125968
Risky Warning,Detected a potential security alert from SecurityKOL:PeckShieldAlert on Twitter,https://twitter.com/PeckShieldAlert/status/1754436374584037490 ,2,PeckShieldAlert_1754436374584037490,metadata,,,1707125202
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x98f60260f6d6c28ea24ac9d16ee39be2a36c40ac9befefc5c6c2c6ea888faeab ,2,0x98f60260f6d6c28ea24ac9d16ee39be2a36c40ac9befefc5c6c2c6ea888faeab,tx_hash,56,0x3eb4b110e5dce080cabbddab3bcabd6c1a669cbc;0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7;0xa41ae127d04f7ee73b5058e2c60fb7c7a2d21f79,1707125115
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x8c3b6a7c9764a6ea65277feadefadf73716a984d249b62f59bedc2d2d0c62fc1 ,2,0x8c3b6a7c9764a6ea65277feadefadf73716a984d249b62f59bedc2d2d0c62fc1,tx_hash,56,0xdcf0fd741364dd1ec81b49bb702120bbc2d80dd0;0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7;0xa41ae127d04f7ee73b5058e2c60fb7c7a2d21f79,1707124670
Risky Warning,Detected a potential security alert from a Top Project:pancakeswap on Twitter,https://twitter.com/pancakeswap/status/1754433623489683547 ,2,1754433623489683547_1707124556,metadata,,,1707124556
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x8afaca5bc8f850d0822089ab39968d596fe38ac38c95265a37b8acfaa9478848 ,2,0x8afaca5bc8f850d0822089ab39968d596fe38ac38c95265a37b8acfaa9478848,tx_hash,56,0x40111febce518c1d6fc00524b745a4b7ab4fbbc9;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x866953094f9f6daa7a8b5295e3ecffe242c0b04d,1707123494
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x0fe7552a447c1c7dd5426bba482973fd2f7dac57d99b1823654547104794c4f0 ,2,0x0fe7552a447c1c7dd5426bba482973fd2f7dac57d99b1823654547104794c4f0,tx_hash,56,0xcfcaa5848bcb67cbdc880216892e60946c4e48c8;0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7;0xe6d82bbe75041e42e51d755e922ce1ba91af9c4d,1707122829
Risky Warning,"Detected a significant drop in LP supply, a potential indicator of rug pull risk",https://www.dextools.io/app/en/bnb/pair-explorer/0xf7223192fed01acf116231eb5d0725af13060f8a,1,0xf7223192fed01acf116231eb5d0725af13060f8a,address,56,0xf7223192fed01acf116231eb5d0725af13060f8a;0x338af54976b9d4f7f41c97dcb60dfec0694149f9;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1707122036
Risky Warning,Detected a potential security alert from a Top Project:coin98_wallet on Twitter,https://twitter.com/coin98_wallet/status/1754422683398176927 ,2,1754422683398176927_1707121948,metadata,,,1707121948
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x42b892ec17e932d24c2e0c1f58ddcaf2a7302759dd42ad838b046b6f225194b1,1,0x42b892ec17e932d24c2e0c1f58ddcaf2a7302759dd42ad838b046b6f225194b1,tx_hash,56,0x477bc8d23c634c154061869478bce96be6045d12;0xd6216fc19db775df9774a6e33526131da7d19a2c;0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,1707121931
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x9aeda8adeeb96a515c4082bce5a0c6a02e414e01b4f05f2f18aeaa60b9595da8 ,2,0x9aeda8adeeb96a515c4082bce5a0c6a02e414e01b4f05f2f18aeaa60b9595da8,tx_hash,56,0xcc3217c30968c7a6649bf5ceac52cce9889d1095;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x6607e00f38e7d9d1eb3c6995439210f6b18bec4e,1707121730
Risky Warning,Detected a potential security alert from a Top Project:alienworlds on Twitter,https://twitter.com/alienworlds/status/1754421140712296593 ,2,1754421140712296593_1707121580,metadata,,,1707121580
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xf49b7629be58292ea1b1ff5c90f58beb7c74bdf84e7975583a408455ad2cd351 ,2,0xf49b7629be58292ea1b1ff5c90f58beb7c74bdf84e7975583a408455ad2cd351,tx_hash,56,0x8f75af6b3c9af1bb9831a2d909d440aedc0fcbce;0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7;0xa41ae127d04f7ee73b5058e2c60fb7c7a2d21f79,1707121389
