title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x6cbe4317a58f5d1c024b8de54e208efe387cdf3e6aa0e537e3ad18bb0e8137e1,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x4f86c2f941aa8d6d5eb0368b60e3358cc0f33317;0xdbf5e9c5206d0db70a90108bf936da60221dc080;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1710350047
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x4a4463f989c68fe048908383b0812819ffbaf00d220b605ebb2b7a3bbe5cfd16,3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2e5f1f08ebc01d6136c95a40e19d4c64c0be772c;0x4c9c59b060dacb8736c0c0b208d781b6b2a6f77b;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710349949
Risky Warning,Detected a significant change in a token's supply which could suggest a possible rug pull risk,https://bscscan.com/token/0x95883611685a20936ec935b0a33f82e11d478e3d,2,0x95883611685a20936ec935b0a33f82e11d478e3d,address,56,0x95883611685a20936ec935b0a33f82e11d478e3d,0x95883611685a20936ec935b0a33f82e11d478e3d;0x301ee68ae9e73068a62d2680d6da79da04a12e1f;0x8f886b4b10344289cead777953f95fa0317bcd33;0x6023c6afa26a68e05672f111fdbb1de93cbac621,1710349918
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0x8c2724c17f50b2f03fcd18a2542808bf6d15692d7f7d794c4b8f5b18b730e1a7,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710349772
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x7a3ffaae8960bd900812ce746f3e46e156f0177a6784f200d3e9bed6dcc62efd,3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,address,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x2efb50e952580f4ff32d8d2122853432bbf2e204;0x4f86c2f941aa8d6d5eb0368b60e3358cc0f33317;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1710349659
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://etherscan.io/tx/0xb0b1358afced2a8bcdd6d726f9e27679a717a77d380a1557b131f4f5bf2409f5,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6122c109b78c6755486966148c1d70a50a47d7;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0x55fe002aeff02f77364de339a1292923a15844b8,1710349637
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0x849334332e149cd556e6256ea6d248617aa51de2803eb15a4a70b248d54e9c2b,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710349468
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://etherscan.io/tx/0x3fc63dfa04e0450c2938c246be2bcd1baa8715220a279269dcedb667a807ee15,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6122c109b78c6755486966148c1d70a50a47d7;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0x55fe002aeff02f77364de339a1292923a15844b8,1710349348
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x8a688aa63511e593b0b8bad01f68df532c3166344faa9a72c80cb6c4f6b19c62 ,3,0x8a688aa63511e593b0b8bad01f68df532c3166344faa9a72c80cb6c4f6b19c62,tx_hash,56,0xf44681fbf6fc2bfdb678b236e7df93bc85f6aba0,0xf44681fbf6fc2bfdb678b236e7df93bc85f6aba0;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xe0b112e68584fa910ad0ee745904170727e3ec73,1710349126
Risky Warning,Detected a potential security alert from a Top Project:aavegotchi on Twitter,https://twitter.com/aavegotchi/status/1767958080145228226 ,2,1767958080145228226_1710349038,metadata,,,,1710349038
