title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,Detected a significant change in a token's supply which could suggest a possible rug pull risk,https://bscscan.com/token/0x61edcfe8dd6ba3c891cb9bec2dc7657b3b422e93,2,0x61edcfe8dd6ba3c891cb9bec2dc7657b3b422e93,address,56,0x61edcfe8dd6ba3c891cb9bec2dc7657b3b422e93,0x61edcfe8dd6ba3c891cb9bec2dc7657b3b422e93,1710425451
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0x13d89fa997741ff78bf7e2e294c51b4fdee84ab89690c6b9df9e2141230c996e,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710425181
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0xac174bb281d534e8fd142df6a563b3bbf9e549703ee5db03131b77b70c237918,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710425010
Risky Warning,Detected a potential hack contract,https://bscscan.com/address/0xa8f2dfa73018aeb65f295ac8afac9238d83e33e8 ,3,0xa8f2dfa73018aeb65f295ac8afac9238d83e33e8,address,56,0xa8f2dfa73018aeb65f295ac8afac9238d83e33e8,,1710424603
Risky Warning,Detected a potential hack contract,https://bscscan.com/address/0x650939915200e07f7133c1a7e0e47c6c6c62d3be ,3,0x650939915200e07f7133c1a7e0e47c6c6c62d3be,address,56,0x650939915200e07f7133c1a7e0e47c6c6c62d3be,,1710424603
Risky Warning,Detected a potential hack contract,https://bscscan.com/address/0x5adc54254862cb8a8d2d381ba92315035e0374f1 ,3,0x5adc54254862cb8a8d2d381ba92315035e0374f1,address,56,0x5adc54254862cb8a8d2d381ba92315035e0374f1,,1710424603
Risky Warning,Detected a potential hack contract,https://bscscan.com/address/0x15f5a245717a212dff2030000337eb12b693cefb ,3,0x15f5a245717a212dff2030000337eb12b693cefb,address,56,0x15f5a245717a212dff2030000337eb12b693cefb,,1710424603
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/vai/ ,2,vai,slug,56,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,,1710424560
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/vai/ ,2,vai,slug,56,,,1710424560
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/siacoin/ ,2,siacoin,slug,56,,,1710424560
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/loom-network/ ,2,loom-network,slug,56,,,1710424560
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0xfe13682a2ef91d1f1d50cc3013169c342040edfee75b90bd875f0de22187d1cd,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710424556
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x3230144c9ce6dafaf43b90fb0a3b4522bb574529d432a424ec176bcfb2fea496,3,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x28c6c06298d514db089934071355e5743bf21d60;0x9696f59e4d72e237be84ffd425dcad154bf96976;0xdac17f958d2ee523a2206206994597c13d831ec7,1710424277
Risky Warning,"Detected a project burning a large amount of supply, suggesting potential risks",https://etherscan.io/tx/0xb8ff3c352e69c0b13e6402ab602d067bc94e5e4d59fa9c6e0d822fbeb3273f79,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x55fe002aeff02f77364de339a1292923a15844b8;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1710424219
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xb9b8c89a994a748e4113c0f673718375705c3718d9fae40220e31d294cf78950,3,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5754284f345afc66a98fbb0a0afe71e0f007b949;0x1dbbbc3fdb2c4fabd28fd9b84ed99ceb84bfbec5;0xdac17f958d2ee523a2206206994597c13d831ec7,1710424037
Risky Warning,"Detected a project minting a high volume of supply, potentially signaling rug pull risks",https://etherscan.io/tx/0xf782ea87b7763cdcccdc4d1fb3521da2f3c5b0cf19a26cb5a074749870c241c8,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6122c109b78c6755486966148c1d70a50a47d7;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0x55fe002aeff02f77364de339a1292923a15844b8,1710423545
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x26554ce506bc071723dc01447cd102e9fd4e0128501026df1eee3e86f0679501,3,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x28c6c06298d514db089934071355e5743bf21d60;0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0xdac17f958d2ee523a2206206994597c13d831ec7,1710423054
Risky Warning,Detected a potential security alert from a Top Project:bakery_swap on Twitter,https://twitter.com/bakery_swap/status/1768267695815053521 ,2,1768267695815053521_1710422856,metadata,,,,1710422856
