title,description,ref_link,priority,item,item_type,chain_id,addresses,timestamp
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x7fc70b3310e90c8341924e807d117b664a4415697863ad527847ce2a8bda559d ,2,0x7fc70b3310e90c8341924e807d117b664a4415697863ad527847ce2a8bda559d,tx_hash,56,0x4ff76f92937c57483665860193c0d1a588f7aea0;0x3161971e2436b91b16074735e27f9b99c05ddaed,1708131414
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0xdee00fe58cff40c0c87587dceba5a3b898dff08856280827cda10da6d88b65a0 ,2,0xdee00fe58cff40c0c87587dceba5a3b898dff08856280827cda10da6d88b65a0,tx_hash,56,0x086cf32f108ed278d726042c1af3a306879eab63;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x72377772acde4c9c8e2f21709f86835f0bdae598,1708130501
Risky Warning,Detected a potential security alert from a Top Project:santosfc on Twitter,https://twitter.com/santosfc/status/1758652671118950832 ,2,1758652671118950832_1708130455,metadata,,,1708130455
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/sonm-bep20/ ,1,sonm-bep20,slug,56,,1708130279
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/sonm-bep20/ ,1,sonm-bep20,slug,56,,1708130279
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/sonm-bep20/ ,1,sonm-bep20,slug,56,,1708130279
Risky Warning,"Detected a significant change in price, which could indicate a significant event",https://coinmarketcap.com/currencies/mdex/ ,1,mdex,slug,56,,1708130279
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0xeac6fd0be38103a22173c307aa79fb37772aec39541684552255c123253bef3c ,2,0xeac6fd0be38103a22173c307aa79fb37772aec39541684552255c123253bef3c,tx_hash,56,0x737055f5fd82925fd05f4aa4146ac01984c1eff5;0x5950910964268f9b333120826aede5a755ed41bd,1708130082
Risky Warning,Detected various rugpull-like behaviors from suspicious tokens,https://explorer.phalcon.xyz/tx/bsc/0x37056c444cfadb4aa0b164dba59d49ee7e4a8d301ab8f28ef65ba432f245737d ,2,0x37056c444cfadb4aa0b164dba59d49ee7e4a8d301ab8f28ef65ba432f245737d,tx_hash,56,0x9e9f28c7ffd04b0364fe1acf396164562fd430e6;0x997d1bfba0e08f8bdc79200d1a07c379e28cbb3c,1708130037
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x16c261940d88517d5e685acd3dac3e85cda019623a425ca9567e3bc126dde956 ,2,0x16c261940d88517d5e685acd3dac3e85cda019623a425ca9567e3bc126dde956,tx_hash,56,0xd23318b2e054614a2ce092756d982479541be76e;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x556f4d95104a51f45e47b4bea9941ac920122c5d,1708128399
