title,description,ref_link,priority,item,item_type,chain_id,address,addresses,timestamp
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x1ae5d8a08447eaf0c3ee116a055093d9394bca30394c170ce40e8cb9e07ec058,2,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcd40532686b94abc88b06b9705aacbc14c8364d6;0x000000000dfde7deaf24138722987c9a6991e2d4;0xdac17f958d2ee523a2206206994597c13d831ec7,1709257225
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xd32a11c041a599c357ed4b095ea0f4d2e9aefdaa68ff68d0a53bcd56081676f5,2,0x514910771af9ca656af840dff83e8264ecf986ca,address,1,0x514910771af9ca656af840dff83e8264ecf986ca,0x35883a758cabaf3b1fa6d18f7f369251c8d5941b;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x514910771af9ca656af840dff83e8264ecf986ca,1709257223
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x1b63f05b4e4f03eae264d8aa3314ac95aa04a1fdc93f01779b57c1ef7a1bd4ca,2,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x77ab7d3d34b80f033f494f95683264690fdcd5b9;0x28c6c06298d514db089934071355e5743bf21d60;0xdac17f958d2ee523a2206206994597c13d831ec7,1709257222
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x956782693c7d66b730caa23a45b3f26a689daed25ee5a8670768d76c5c1cbfb2,2,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x95e63f78bd2fd5ea8a0d58182f3d998558881fda;0x28c6c06298d514db089934071355e5743bf21d60;0xdac17f958d2ee523a2206206994597c13d831ec7,1709257222
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x2be98c4a09662b911d622f79a1ab2f0ea57c40137c393bdc7973bc9c08ee9a66,2,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x66f791456b82921cbc3f89a98c24ea21784973a1;0x28c6c06298d514db089934071355e5743bf21d60;0xdac17f958d2ee523a2206206994597c13d831ec7,1709257221
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x8fcad2d622e8a579064761e2d1763cb3ff8801daf805625e5a84f8a7fb3b4f2c,2,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,address,1,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0xe37c4928b46af3079e640b9ac7c46d87956adfec;0x28c6c06298d514db089934071355e5743bf21d60;0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,1709257218
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xa9bacebf284d999893fce50eea7ef8ed80faf4c7d35853d02b2456ba7c85bfc6,2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,address,1,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4;0x28c6c06298d514db089934071355e5743bf21d60;0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1709257216
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0xfedcb601b9a90b28c98202cfb275b8f2500c53c3dbc3a55dee92127b16ed37f8,2,0xdac17f958d2ee523a2206206994597c13d831ec7,address,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x5d2d49c7371eac3a89ca780ffe4ff32d311d9761;0xdac17f958d2ee523a2206206994597c13d831ec7,1709257203
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x1548d9176481f59ad336a4b4b1bc7cb8b625db57eb257abeef059fa0703df01c,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4594467601ce92b0d94fc5112722131a535ef0c7;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1709257156
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://etherscan.io/tx/0x0db7edbff01b031dda911213b420e73e160b8a784224b4425d48c6a09f15ec2c,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,address,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x46340b20830761efd32832a74d7169b29feb9758;0xef15d12b8b935a432b681f317afd050f48dcbf85;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1709257154
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x9b51445a029a40f47a213670a7da7c3dc295cdcedf1ef26f6a84b2dc2f951a7c,2,0x1ae369a6ab222aff166325b7b87eb9af06c86e57,address,56,0x1ae369a6ab222aff166325b7b87eb9af06c86e57,0xc75cca2e1c71669a73711f2eca221e9e2ae25fc1;0xa5648e1d775a2f96d4c6a201b406d2d6dcd595cc;0x1ae369a6ab222aff166325b7b87eb9af06c86e57,1709257145
